iter	Passed	Remaining
233	3985	13047
234	4000	13023
235	4018	13010
236	4036	12995
237	4056	12986
238	4073	12970
239	4091	12955
240	4107	12937
241	4126	12923
242	4143	12908
243	4158	12884
244	4173	12861
245	4190	12843
246	4207	12828
247	4235	12842
248	4250	12818
249	4267	12802
250	4285	12787
251	4299	12761
252	4310	12726
253	4327	12710
254	4341	12684
255	4359	12670
256	4372	12642
257	4385	12611
258	4402	12596
259	4417	12572
260	4436	12562
261	4457	12556
262	4475	12540
263	4492	12524
264	4509	12507
265	4527	12492
266	4545	12478
267	4557	12449
268	4572	12425
269	4585	12397
270	4602	12379
271	4620	12367
272	4635	12344
273	4651	12324
274	4667	12305
275	4683	12286
276	4701	12270
277	4717	12251
278	4737	12241
279	4754	12225
280	4770	12206
281	4786	12187
282	4803	12170
283	4821	12155
284	4837	12135
285	4856	12124
286	4874	12109
287	4891	12093
288	4910	12080
289	4927	12063
290	4944	12047
291	4963	12033
292	4981	12019
293	4997	12000
294	5013	11981
295	5031	11967
296	5049	11951
297	5067	11938
298	5084	11919
299	5102	11905
300	5118	11887
301	5136	11872
302	5152	11852
303	5171	11839
304	5189	11825
305	5203	11800
306	5223	11790
307	5241	11775
308	5256	11754
309	5273	11737
310	5284	11706
311	5296	11679
312	5311	11658
313	5324	11632
314	5342	11618
315	5361	11605
316	5381	11595
317	5396	11574
318	5413	11557
319	5428	11535
320	5446	11519
321	5462	11502
322	5481	11489
323	5497	11470
324	5516	11457
325	5534	11442
326	5551	11425
327	5570	11412
328	5590	11401
329	5606	11382
330	5623	11366
331	5639	11347
332	5657	11331
333	5669	11305
334	5687	11290
335	5699	11262
336	5716	11246
337	5736	11234
338	5754	11220
339	5771	11202
340	5790	11190
341	5803	11166
342	5821	11150
343	5839	11135
344	5850	11107
345	5866	11089
346	5885	11075
347	5901	11056
348	5917	11038
349	5937	11026
350	5955	11012
351	5973	10997
352	5985	10970
353	5999	10948
354	6013	10926
355	6031	10910
356	6048	10893
357	6065	10877
358	6084	10863
359	6103	10851
360	6121	10836
361	6138	10817
362	6153	10797
363	6172	10784
364	6189	10767
365	6206	10750
366	6226	10739
367	6242	10721
368	6256	10698
369	6273	10681
370	6289	10663
371	6305	10645
372	6323	10628
373	6337	10607
374	6350	10584
375	6369	10570
376	6386	10553
377	6402	10535
378	6418	10517
379	6439	10505
380	6455	10488
381	6476	10476
382	6493	10460
383	6509	10442
384	6526	10425
385	6543	10408
386	6560	10391
387	6577	10374
388	6591	10353
389	6609	10338
390	6625	10318
391	6641	10300
392	6659	10285
393	6672	10263
394	6689	10246
395	6708	10232
396	6724	10213
397	6743	10199
398	6760	10183
399	6777	10165
400	6795	10150
401	6813	10135
402	6831	10119
403	6849	10104
404	6866	10088
405	6883	10071
406	6901	10055
407	6917	10036
408	6935	10021
409	6952	10005
410	6970	9990
411	6986	9971
412	7001	9951
413	7020	9937
414	7038	9921
415	7060	9911
416	7077	9894
417	7094	9878
418	7111	9861
419	7130	9846
420	7146	9827
421	7164	9812
422	7181	9795
423	7199	9779
424	7218	9765
425	7236	9751
426	7255	9736
427	7273	9721
428	7289	9702
429	7309	9689
430	7322	9667
431	7342	9654
432	7360	9638
433	7378	9622
434	7395	9606
435	7410	9586
436	7430	9572
437	7448	9556
438	7463	9537
439	7479	9518
440	7496	9502
441	7515	9487
442	7531	9469
443	7549	9454
444	7566	9436
445	7573	9407
446	7590	9390
447	7609	9376
448	7627	9360
449	7644	9343
450	7664	9330
451	7683	9315
452	7700	9298
453	7716	9280
454	7736	9267
455	7753	9249
456	7775	9238
457	7793	9222
458	7812	9208
459	7828	9190
460	7847	9175
461	7856	9149
462	7872	9130
463	7888	9112
464	7904	9094
465	7922	9078
466	7938	9060
467	7957	9045
468	7975	9030
469	7993	9014
470	8011	8998
471	8028	8981
472	8046	8965
473	8065	8949
474	8081	8931
475	8098	8914
476	8116	8898
477	8133	8882
478	8151	8866
479	8168	8849
480	8193	8840
481	8230	8845
482	8260	8841
483	8281	8828
484	8302	8815
485	8323	8803
486	8342	8788
487	8364	8775
488	8382	8759
489	8399	8742
490	8425	8734
491	8443	8717
492	8463	8704
493	8471	8676
494	8489	8660
495	8507	8644
496	8523	8626
497	8540	8608
498	8557	8591
499	8574	8574
500	8592	8557
501	8611	8542
502	8628	8525
503	8646	8508
504	8661	8490
505	8680	8474
506	8697	8457
507	8717	8443
508	8735	8427
509	8752	8409
510	8769	8391
511	8786	8374
512	8803	8357
513	8820	8340
514	8838	8323
515	8856	8306
516	8874	8291
517	8891	8273
518	8900	8249
519	8914	8228
520	8933	8213
521	8951	8196
522	8968	8179
523	8985	8162
524	9003	8146
525	9023	8131
526	9041	8114
527	9061	8100
528	9078	8082
529	9096	8066
530	9112	8048
531	9131	8032
532	9145	8013
533	9164	7997
534	9180	7979
535	9200	7964
536	9217	7947
537	9234	7930
538	9243	7905
539	9263	7891
540	9282	7875
541	9299	7858
542	9317	7841
543	9334	7824
544	9352	7807
545	9369	7790
546	9386	7773
547	9405	7757
548	9422	7740
549	9429	7715
550	9446	7697
551	9463	7680
552	9479	7662
553	9495	7644
554	9513	7627
555	9531	7611
556	9550	7595
557	9557	7570
558	9571	7551
559	9590	7535
560	9608	7519
561	9627	7503
562	9643	7485
563	9662	7469
564	9680	7453
565	9697	7435
566	9716	7420
567	9734	7403
568	9747	7383
569	9768	7369
570	9785	7352
571	9804	7336
572	9821	7319
573	9839	7302
574	9857	7286
575	9875	7269
576	9894	7253
577	9915	7239
578	9932	7222
579	9951	7206
580	9967	7188
581	9983	7170
582	10000	7153
583	10019	7137
584	10037	7120
585	10054	7103
586	10063	7080
587	10078	7061
588	10097	7045
589	10115	7029
590	10135	7014
591	10153	6997
592	10171	6980
593	10193	6966
594	10211	6951
595	10227	6932
596	10246	6916
597	10260	6897
598	10268	6874
599	10289	6859
600	10308	6843
601	10324	6825
602	10340	6808
603	10358	6791
604	10375	6774
605	10393	6757
606	10410	6740
607	10423	6720
608	10439	6702
609	10446	6678
610	10458	6658
611	10476	6641
612	10492	6623
613	10510	6607
614	10520	6585
615	10534	6566
616	10553	6551
617	10571	6534
618	10588	6517
619	10609	6502
620	10617	6479
621	10633	6462
622	10651	6445
623	10668	6428
624	10686	6412
625	10704	6395
626	10722	6378
627	10734	6358
628	10752	6341
629	10768	6324
630	10776	6301
631	10794	6285
632	10812	6268
633	10829	6251
634	10846	6234
635	10864	6218
636	10882	6201
637	10898	6183
638	10918	6168
639	10936	6151
640	10954	6135
641	10972	6118
642	10989	6101
643	11004	6083
644	11022	6066
645	11039	6049
646	11057	6032
647	11074	6016
648	11092	5999
649	11104	5979
650	11123	5963
651	11129	5940
652	11146	5923
653	11163	5906
654	11180	5889
655	11199	5872
656	11216	5855
657	11228	5836
658	11245	5819
659	11263	5802
660	11280	5785
661	11297	5768
662	11313	5750
663	11330	5733
664	11347	5716
665	11363	5698
666	11375	5679
667	11391	5661
668	11408	5644
669	11426	5628
670	11447	5612
671	11463	5595
672	11481	5578
673	11500	5562
674	11518	5546
675	11536	5529
676	11554	5512
677	11574	5496
678	11590	5479
679	11606	5461
680	11624	5445
681	11642	5428
682	11659	5411
683	11677	5394
684	11696	5378
685	11713	5361
686	11730	5344
687	11745	5326
688	11762	5309
689	11779	5292
690	11799	5276
691	11817	5259
692	11833	5242
693	11851	5225
694	11868	5208
695	11885	5191
696	11904	5175
697	11922	5158
698	11937	5140
699	11954	5123
700	11971	5106
701	11989	5089
702	12005	5072
703	12024	5055
704	12040	5038
705	12059	5022
706	12079	5005
707	12096	4988
708	12115	4972
709	12134	4956
710	12152	4939
711	12180	4927
712	12200	4911
713	12219	4894
714	12234	4876
715	12250	4859
716	12265	4841
717	12282	4824
718	12300	4807
719	12319	4790
720	12335	4773
721	12353	4756
722	12371	4739
723	12389	4723
724	12404	4705
725	12411	4684
726	12426	4666
727	12446	4650
728	12463	4633
729	12481	4616
730	12501	4600
731	12518	4583
732	12537	4566
733	12553	4549
734	12572	4533
735	12591	4516
736	12609	4499
737	12624	4481
738	12641	4464
739	12658	4447
740	12676	4430
741	12687	4411
742	12706	4394
743	12722	4377
744	12738	4360
745	12757	4343
746	12773	4326
747	12788	4308
748	12806	4291
749	12825	4275
750	12843	4258
751	12863	4242
752	12880	4224
753	12898	4208
754	12915	4191
755	12931	4173
756	12947	4156
757	12965	4139
758	12982	4122
759	13000	4105
760	13022	4089
761	13041	4073
762	13058	4056
763	13077	4039
764	13095	4022
765	13114	4006
766	13132	3989
767	13153	3973
768	13170	3956
769	13189	3939
770	13200	3920
771	13223	3905
772	13250	3891
773	13268	3874
774	13286	3857
775	13300	3839
776	13319	3822
777	13338	3805
778	13357	3789
779	13370	3771
780	13386	3753
781	13405	3737
782	13422	3719
783	13441	3703
784	13458	3686
785	13475	3668
786	13494	3652
787	13511	3635
788	13529	3618
789	13546	3600
790	13565	3584
791	13582	3567
792	13599	3550
793	13618	3533
794	13636	3516
795	13650	3498
796	13667	3481
797	13688	3464
798	13706	3448
799	13723	3430
800	13743	3414
801	13760	3397
802	13777	3380
803	13805	3365
804	13822	3348
805	13844	3332
806	13862	3315
807	13879	3298
808	13894	3280
809	13913	3263
810	13931	3246
811	13951	3230
812	13969	3213
813	13985	3195
814	14003	3178
815	14021	3161
816	14039	3144
817	14058	3127
818	14076	3110
819	14094	3093
820	14112	3076
821	14129	3059
822	14147	3042
823	14167	3026
824	14185	3008
825	14201	2991
826	14220	2974
827	14240	2958
828	14255	2940
829	14269	2922
830	14286	2905
831	14307	2889
832	14314	2869
833	14330	2852
834	14343	2834
835	14361	2817
836	14378	2800
837	14390	2781
838	14407	2764
839	14422	2747
840	14439	2729
841	14458	2713
842	14476	2696
843	14495	2679
844	14509	2661
845	14527	2644
846	14543	2627
847	14561	2610
848	14578	2592
849	14598	2576
850	14614	2558
851	14627	2540
852	14644	2523
853	14665	2507
854	14684	2490
855	14703	2473
856	14722	2456
857	14738	2439
858	14758	2422
859	14776	2405
860	14792	2388
861	14806	2370
862	14825	2353
863	14845	2336
864	14863	2319
865	14881	2302
866	14895	2285
867	14913	2267
868	14931	2250
869	14942	2232
870	14961	2215
871	14979	2198
872	14996	2181
873	15014	2164
874	15032	2147
875	15051	2130
876	15066	2113
877	15084	2096
878	15103	2079
879	15120	2061
880	15145	2045
881	15163	2028
882	15180	2011
883	15196	1994
884	15213	1976
885	15231	1959
886	15243	1941
887	15259	1924
888	15279	1907
889	15302	1891
890	15319	1874
891	15338	1857
892	15356	1840
893	15375	1823
894	15394	1806
895	15413	1789
896	15430	1771
897	15448	1754
898	15461	1737
899	15477	1719
900	15494	1702
901	15513	1685
902	15532	1668
903	15550	1651
904	15570	1634
905	15589	1617
906	15610	1600
907	15627	1583
908	15644	1566
909	15658	1548
910	15674	1531
911	15692	1514
912	15706	1496
913	15725	1479
914	15744	1462
915	15764	1445
916	15782	1428
917	15796	1410
918	15814	1393
919	15830	1376
920	15852	1359
921	15870	1342
922	15883	1325
923	15901	1307
924	15909	1289
925	15927	1272
926	15945	1255
927	15962	1238
928	15981	1221
929	16000	1204
930	16018	1187
931	16037	1170
932	16056	1153
933	16072	1135
934	16090	1118
935	16106	1101
936	16121	1083
937	16141	1066
938	16163	1050
939	16182	1032
940	16200	1015
941	16215	998
942	16234	981
943	16258	964
944	16279	947
945	16297	930
946	16313	912
947	16330	895
948	16348	878
949	16369	861
950	16388	844
951	16405	827
952	16421	809
953	16440	792
954	16451	775
955	16468	757
956	16487	740
957	16503	723
958	16522	706
959	16534	688
960	16552	671
961	16569	654
962	16586	637
963	16598	619
964	16616	602
965	16633	585
966	16651	568
967	16664	550
968	16682	533
969	16698	516
970	16713	499
971	16731	481
972	16751	464
973	16768	447
974	16780	430
975	16798	413
976	16813	395
977	16832	378
978	16850	361
979	16866	344
980	16877	326
981	16896	309
982	16916	292
983	16930	275
984	16948	258
985	16961	240
986	16980	223
987	16989	206
988	17003	189
989	17014	171
990	17025	154
991	17042	137
992	17060	120
993	17075	103
994	17093	85
995	17112	68
996	17127	51
997	17145	34
998	17156	17
999	17167	0
